id,content,source_type,publication_date,category,fact_check_url,explanation
ae862d7f,Scientists confirm specific sleeping position cures chronic pain in 94% of patients,fake_blog,2025-03-18,disaster,https://factcheck.example.org/scientists-confirm-specific,No such incident occurred. Image used was from an unrelated event.
18c920ba,Tech billionaire reveals shocking truth about pharmaceutical business: 'The evidence was destroyed',fake_headline,2025-03-21,science,https://realitychecker.example.com/tech-billionaire-reveals,No such law has been proposed or passed. Uses political division to spread false information.
d3e4212d,Global consortium to implement mandatory restricted travel starting next fiscal year,fake_article,2025-04-05,education,https://factcheck.example.org/global-consortium-to,Dangerous health misinformation. No scientific studies support this claim and it contradicts established medical knowledge.
e8316070,Nuclear incident Destroys tech headquarters! Thousands trapped inside. Government covering up actual rescue efforts.,fake_article,2025-03-26,disaster,https://truthmeter.example.com/nuclear-incident-destroys,Uses emotionally charged language and anonymous sources that cannot be verified.
f9d963ad,ALERT: Baby formula found to contain carcinogen linked to birth defects,fake_tweet,2025-03-21,disaster,https://debunker.example.org/alert-baby-formula,Classic fearmongering using technical jargon to sound credible while making impossible claims.
799cb51e,INSIDER REPORT: Pharmaceutical corporation to replace 97% of workforce with AI by 2028,fake_article,2025-04-06,education,https://debunker.example.org/insider-report-pharmaceutical,Presents correlation as causation. Cherry-picks data while ignoring contradictory evidence.
c51c611b,Economic COLLAPSE imminent as Sovereign wealth fund prepares to impose capital controls,fake_headline,2025-03-18,space,https://realitychecker.example.com/economic-collapse-imminent,Completely fabricated story with no basis in reality. No such announcement was made.
481ffe55,CONFIRMED: Government agency found to be using illegal surveillance in popular tourist destination,fake_headline,2025-04-01,sports,https://truthmeter.example.com/confirmed-government-agency,No such incident occurred. Image used was from an unrelated event.
4d4ba312,Emerging superpower developing secret nuclear technology capable of remote mind control,fake_social,2025-04-10,finance,https://truthmeter.example.com/emerging-superpower-developing,Classic fearmongering using technical jargon to sound credible while making impossible claims.
8ce4f029,Tsunami Destroys financial district! Communication networks down. Government covering up actual affected population.,fake_blog,2025-03-18,sports,https://debunker.example.org/tsunami-destroys-financial,No such law has been proposed or passed. Uses environmental concerns to spread false information.
2f0f3f31,INSIDER REPORT: Healthcare provider to replace 97% of workforce with AI by 2029,fake_blog,2025-03-31,health,https://truthmeter.example.com/insider-report-healthcare,No such law has been proposed or passed. Uses cultural tensions to spread false information.
87a25600,"LEAKED DOCUMENT: Military complex secretly mining personal data through public water supply, Emergency services overwhelmed",fake_tweet,2025-03-16,space,https://realitychecker.example.com/leaked-document-military,No scientific evidence supports this claim. Study cited doesn't exist.
50a3bf24,Tsunami Destroys historic site! Thousands trapped inside. Government covering up actual environmental damage.,fake_social,2025-04-14,entertainment,https://factcheck.example.org/tsunami-destroys-historic,Dangerous health misinformation. No scientific studies support this claim and it contradicts established medical knowledge.
a12399c9,Neighboring nation developing secret electromagnetic pulse device capable of remote mind control,fake_article,2025-03-22,space,https://debunker.example.org/neighboring-nation-developing,Presents common typical pattern as unusual or dangerous without scientific basis.
3828d458,Anonymous whistleblower: Religious institution has been concealing extraterrestrial contact for decades,fake_tweet,2025-03-22,celebrity,https://factcheck.example.org/anonymous-whistleblower-religious,No such event occurred on this date. Image circulated was from a different incident.
2a0e21ab,Tech billionaire reveals shocking truth about food industry: 'The truth will shock the world',fake_article,2025-03-27,health,https://verifynews.example.net/tech-billionaire-reveals,Uses emotionally charged language and anonymous sources that cannot be verified.
781353cf,Fashion icon reveals shocking truth about pharmaceutical business: 'People would revolt if they knew',fake_article,2025-03-15,technology,https://truthmeter.example.com/fashion-icon-reveals,Uses emotionally charged language and anonymous sources that cannot be verified.
4877be3c,Anonymous whistleblower: Tech conglomerate has been concealing extraterrestrial contact for decades,fake_article,2025-04-09,health,https://verifynews.example.net/anonymous-whistleblower-tech,Uses emotionally charged language and anonymous sources that cannot be verified.
ccc27a52,"Famous tech CEO investigated for identity theft scheme, faces international sanctions",fake_tweet,2025-04-12,celebrity,https://verifynews.example.net/famous-tech-ceo,No scientific evidence supports this claim. Study cited doesn't exist.
fc24ec52,URGENT: Bottled water brand recalled after being linked to loss of license,fake_headline,2025-04-08,politics,https://verifynews.example.net/urgent-bottled-water,Classic fearmongering using technical jargon to sound credible while making impossible claims.
7ff2f736,"BREAKING: Medical team discovers that household spice triggers 95% of genetic disorders, State officials suppressing evidence",fake_social,2025-03-17,environment,https://debunker.example.org/breaking-medical-team,Dangerous health misinformation. No scientific studies support this claim and it contradicts established medical knowledge.
f41cdee6,"LEAKED DOCUMENT: Tech conglomerate secretly influencing decisions through mobile phones, Emergency services overwhelmed",fake_headline,2025-04-03,science,https://debunker.example.org/leaked-document-tech,No such policy has been announced or is being planned. Classic conspiracy theory narrative.
3d91aa22,Meteor impact Destroys government building! Thousands trapped inside. Government covering up actual recovery timeline.,fake_tweet,2025-03-24,environment,https://verifynews.example.net/meteor-impact-destroys,No such event occurred on this date. Image circulated was from a different incident.
caf1c688,Doctors won't tell you: coconut oil can eliminate {health_condition} overnight,fake_headline,2025-04-03,technology,https://truthmeter.example.com/doctors-won't-tell,Completely fabricated story with no basis in reality. No such announcement was made.
37845254,Popular influencer reveals shocking truth about media empires: 'People would revolt if they knew',fake_social,2025-04-13,health,https://factcheck.example.org/popular-influencer-reveals,Misrepresents how facial recognition works. Document cited is fabricated.
1fc9aaa0,Reality TV star reveals shocking truth about sports business: 'The cover-up is massive',fake_blog,2025-04-15,politics,https://truthmeter.example.com/reality-tv-star,No scientific evidence supports this claim. Study cited doesn't exist.
