ID,Modality,Content,Label,Source,Explanation,Category,Date
ae862d7f,Text,Scientists confirm specific sleeping position cures chronic pain in 94% of patients,Fake,,No such incident occurred. Image used was from an unrelated event.,disaster,2025-03-18
18c920ba,Text,Tech billionaire reveals shocking truth about pharmaceutical business: 'The evidence was destroyed',Fake,,No such law has been proposed or passed. Uses political division to spread false information.,science,2025-03-21
d3e4212d,Text,Global consortium to implement mandatory restricted travel starting next fiscal year,Fake,,Dangerous health misinformation. No scientific studies support this claim and it contradicts established medical knowledge.,education,2025-04-05
e8316070,Text,Nuclear incident Destroys tech headquarters! Thousands trapped inside. Government covering up actual rescue efforts.,Fake,,Uses emotionally charged language and anonymous sources that cannot be verified.,disaster,2025-03-26
f9d963ad,Text,ALERT: Baby formula found to contain carcinogen linked to birth defects,Fake,,Classic fearmongering using technical jargon to sound credible while making impossible claims.,disaster,2025-03-21
799cb51e,Text,INSIDER REPORT: Pharmaceutical corporation to replace 97% of workforce with AI by 2028,Fake,,Presents correlation as causation. Cherry-picks data while ignoring contradictory evidence.,education,2025-04-06
c51c611b,Text,Economic COLLAPSE imminent as Sovereign wealth fund prepares to impose capital controls,Fake,,Completely fabricated story with no basis in reality. No such announcement was made.,space,2025-03-18
481ffe55,Text,CONFIRMED: Government agency found to be using illegal surveillance in popular tourist destination,Fake,,No such incident occurred. Image used was from an unrelated event.,sports,2025-04-01
4d4ba312,Text,Emerging superpower developing secret nuclear technology capable of remote mind control,Fake,,Classic fearmongering using technical jargon to sound credible while making impossible claims.,finance,2025-04-10
8ce4f029,Text,Tsunami Destroys financial district! Communication networks down. Government covering up actual affected population.,Fake,,No such law has been proposed or passed. Uses environmental concerns to spread false information.,sports,2025-03-18
2f0f3f31,Text,INSIDER REPORT: Healthcare provider to replace 97% of workforce with AI by 2029,Fake,,No such law has been proposed or passed. Uses cultural tensions to spread false information.,health,2025-03-31
87a25600,Text,"LEAKED DOCUMENT: Military complex secretly mining personal data through public water supply, Emergency services overwhelmed",Fake,,No scientific evidence supports this claim. Study cited doesn't exist.,space,2025-03-16
50a3bf24,Text,Tsunami Destroys historic site! Thousands trapped inside. Government covering up actual environmental damage.,Fake,,Dangerous health misinformation. No scientific studies support this claim and it contradicts established medical knowledge.,entertainment,2025-04-14
a12399c9,Text,Neighboring nation developing secret electromagnetic pulse device capable of remote mind control,Fake,,Presents common typical pattern as unusual or dangerous without scientific basis.,space,2025-03-22
3828d458,Text,Anonymous whistleblower: Religious institution has been concealing extraterrestrial contact for decades,Fake,,No such event occurred on this date. Image circulated was from a different incident.,celebrity,2025-03-22
2a0e21ab,Text,Tech billionaire reveals shocking truth about food industry: 'The truth will shock the world',Fake,,Uses emotionally charged language and anonymous sources that cannot be verified.,health,2025-03-27
781353cf,Text,Fashion icon reveals shocking truth about pharmaceutical business: 'People would revolt if they knew',Fake,,Uses emotionally charged language and anonymous sources that cannot be verified.,technology,2025-03-15
